@relation answerExp1
@attribute AnswerType STRING
@attribute Question STRING
@data
"HUM:ind" , "what character is elected mayor of half a dozen italian cities" 
"HUM:ind" , "whom does uncle duke girl friend honey room with" 
"HUM:ind" , "when called upon to surrender what american general replied sir i have not yet begun to fight" 
"NUM:date" , "when was the invented" 
"HUM:ind" , "what relative of leo tolstoy translated war and peace eight times" 
"NUM:count" , "how many cards is each player dealt in contract bridge" 
"HUM:ind" , "who was the second person ever to wear iron man armor" 
"HUM:ind" , "who is the director and editor of the movie big starring tom hanks" 
"LOC:other" , "what is the homelite home page" 
"NUM:period" , "how old was stevie wonder when he signed with motown records" 
"HUM:ind" , "who won two gold medals in skiing in the olympic games in calgary" 
"NUM:date" , "what year was the avery dennison company founded" 
"NUM:ord" , "where does the rank among world countries in area" 
"LOC:other" , "what are the names of all the seas in the world and what ocean do they drain into" 
"LOC:mount" , "name the highest mountain" 
"LOC:other" , "what island is home to statues called mauis" 
"LOC:other" , "where was pythagoras born" 
"NUM:money" , "what is the price for aaa liability auto insurance" 
"HUM:ind" , "who are the top ten richest people in the world" 
"HUM:ind" , "who is the leader of brunei" 
"LOC:city" , "what is the capital of italy" 
"LOC:other" , "what is the greatest hiking web site" 
"NUM:count" , "what is the population of arcadia florida" 
"HUM:ind" , "who were the head writers for the smothers brothers comedy hour" 
"HUM:ind" , "who portrayed prewett in from here to eternity" 
"NUM:count" , "how many people live in cities" 
"NUM:dist" , "how high must a mountain be to be called a mountain" 
"HUM:ind" , "what scottish poet penned to a mouse and to a louse" 
"HUM:ind" , "what is the name of the inventor of silly putty" 
"LOC:other" , "what ocean surrounds the madeira islands" 
"HUM:ind" , "what famous communist leader died in mexico city" 
"LOC:city" , "what are the capital cities of the two large countries that occupy the iberian peninsula in europe" 
"NUM:count" , "how many mines can still be found in the falklands after the war ended" 
"NUM:count" , "how many gallons of water go over niagra falls every second" 
"HUM:ind" , "who was the first woman to run the mile in less than minutes" 
"NUM:count" , "how many copies of an album must be sold for it to be a gold album" 
"HUM:ind" , "who awarded the flying fickle finger of fate" 
"LOC:city" , "in sinclair lewis main street what was the name of the typical american town" 
"LOC:city" , "what is the largest city in texas" 
"HUM:ind" , "what future deer hunter portrayed annie hall neurotic brother duane" 
"LOC:other" , "where can i get a map of prussia on the internet" 
"LOC:country" , "what are the five richest countries in the world" 
"LOC:other" , "where is mccarren airport" 
"HUM:ind" , "what are the top boy names in the" 
"NUM:count" , "how many tiles did the space shuttle columbia lose on its second flight" 
"NUM:count" , "how many teaspoons make up a tablespoon" 
"HUM:ind" , "who was the lyricist and who was the composer between gilbert and sullivan" 
"HUM:ind" , "who was the lawyer for randy craft" 
"HUM:ind" , "who was the president of the united states" 
"HUM:ind" , "name dick tracy two children" 
"NUM:perc" , "what fraction of a beaver life is spent swimming" 
"NUM:money" , "how much will gas be taxed in california by the year" 
"HUM:ind" , "who gave king arthur the round table" 
"LOC:state" , "what state in the united states covers the largest area" 
"HUM:ind" , "who became president of the in" 
"HUM:ind" , "who wrote the scarlet letter" 
"HUM:ind" , "who did sara jane moore try to assassinate" 
"NUM:count" , "how many dots make up the symbol for because" 
"HUM:ind" , "which king signed the magna carta" 
"HUM:ind" , "name the child left on a doorstep at the beginning of gasoline alley" 
"NUM:count" , "how many zip codes are there in the" 
"NUM:period" , "how long does it take the milky way galaxy to make one revolution" 
"NUM:count" , "how many people own pets" 
"LOC:other" , "what web sites are linked to the report on genesis eldercare" 
"NUM:period" , "how long does it take different materials to decompose" 
"NUM:count" , "how many colors are there in a rainbow" 
"HUM:ind" , "what was darth vader son named" 
"HUM:ind" , "what british female pop singing star of the and early was a child actress in the and" 
"LOC:other" , "where is mccarren airport located" 
"LOC:other" , "what part of britain comprises the highlands central lowlands and southern uplands" 
"NUM:count" , "how many marx brothers were there" 
"NUM:dist" , "how tall is the matterhorn" 
"LOC:country" , "what country is proud to claim volcano national park" 
"NUM:date" , "when was babe ruth born" 
"HUM:ind" , "who portrayed field marshal erwin rommel in the desert fox" 
"LOC:other" , "what direction do most baseball pitchers pitch toward" 
"NUM:count" , "how many beanie baby sites are there" 
"LOC:other" , "where are diamonds mined" 
"NUM:money" , "how much money did the marcos steal from their country" 
"HUM:ind" , "who makes the bra" 
"HUM:ind" , "who is archie bunker" 
"HUM:ind" , "what president became chief justice after his presidency" 
"NUM:count" , "how many innings constitute an official baseball game" 
"LOC:city" , "what city has a newspaper called the plain dealer" 
"LOC:state" , "what state boasts leif ericson park" 
"NUM:count" , "how many flavors does baskin robbins offer" 
"HUM:ind" , "who was chief engineer of the starship enterprise" 
"HUM:ind" , "what mayor made so many tv appearances he was asked to join aftra in" 
"NUM:count" , "how much in miles is a ten k run" 
"NUM:date" , "when was beethoven born" 
"HUM:ind" , "who is the most sexy celebrity" 
"HUM:ind" , "what detective lives on punchbowl hill and has children" 
"LOC:other" , "where did the ukulele originate" 
"HUM:ind" , "rotary engines used to be made by whom" 
"HUM:ind" , "who portrayed the title character in the film the day of the jackal" 
"LOC:other" , "what is the name of the gulf between sweden and finland" 
"HUM:ind" , "who was the first to die in battle" 
"HUM:ind" , "who is the president of ghana" 
"LOC:country" , "what two countries is andorra nestled between" 
"NUM:period" , "how long ago was the roe wade decision by the supreme court" 
"LOC:mount" , "what are the four largest mountain ranges in the continental united states" 
"NUM:other" , "what is the size of the student body at the university of massachusetts in amherst" 
"HUM:ind" , "who starred in the movie the war of the worlds" 
"NUM:count" , "how many different kinds of ice cream are there" 
"HUM:ind" , "what actor who had greatest fame on tv became the father of triplets" 
"LOC:other" , "what is the homelite home page" 
"NUM:code" , "what is columbia tristar phone number" 
"LOC:other" , "where was tesla born" 
"HUM:ind" , "who shot lee harvey oswald" 
"NUM:date" , "when did jaco pastorius die" 
"LOC:other" , "what the most common street name in america" 
"LOC:other" , "what are the top tallest buildings in the world" 
"HUM:ind" , "who portrayed renaud in casablanca" 
"LOC:country" , "what country has problems with hooligans" 
"LOC:other" , "what planet did percival lovell discover" 
"NUM:count" , "how often are brain cells replaced" 
"NUM:money" , "how much did mercury spend on advertising in" 
"LOC:country" , "what country contains the westernmost point in south america" 
"NUM:count" , "what the american dollar equivalent for pounds in the" 
"NUM:date" , "what year did charles dicken die" 
"NUM:date" , "when did the last americans leave vietnam" 
"HUM:ind" , "what famed clown appeared on an early howdy doody show and insisted that clarabell be made up as a real clown" 
"NUM:count" , "how many people died when the estonia sank in" 
"LOC:city" , "what southern california town is named after a character made famous by edgar rice burroughs" 
"NUM:count" , "how many colors are there in a rainbow" 
"LOC:other" , "what is the habitat of the chickadee" 
"LOC:city" , "what city the kickoff point for climbs of mount everest" 
"NUM:money" , "what is the average salary of a paleontologist" 
"LOC:other" , "where is the largest post office building in the world" 
"HUM:ind" , "who is currently the most popular singer in the world" 
"NUM:count" , "how many endangered species are there in the world" 
"LOC:city" , "which large city had the highest murder rate for" 
"HUM:ind" , "who was the bandleader mentor of ella fitzgerald with whom she cowrote" 
"HUM:ind" , "who invented basketball" 
"NUM:date" , "when was the last major eruption of mount helens" 
"HUM:ind" , "what hockey player did ronald reagan joke he would swap texas for" 
"HUM:ind" , "what president was buried at his ancestral home overlooking the hudson river at hyde park new york" 
"NUM:money" , "how much did the first barbie doll sell for in" 
"LOC:country" , "what country was general douglas mcarthur in when he was recalled by president truman" 
"NUM:other" , "what is the latitude and longitude of el paso texas" 
"NUM:count" , "how many head injuries are there in recreational ice skating each year" 
"NUM:count" , "a normal human pregnancy lasts how many months" 
"HUM:ind" , "who domesticated the wild turkey" 
"LOC:country" , "what country does ileana cotrubas come from" 
"LOC:country" , "what two european countries are joined by the gran san bernardo pass" 
"HUM:ind" , "what was the name of the us helicopter pilot shot down over north korea" 
"HUM:ind" , "name the designer of the shoe that spawned millions of plastic imitations known as jellies" 
"HUM:ind" , "who is olive oyl brother" 
"HUM:ind" , "what king boycotted prince charles wedding" 
"HUM:ind" , "what was the nickname of model leslie hornby" 
"LOC:other" , "where is the taj mahal" 
"LOC:other" , "in the papal court was forced to move from rome to where" 
"NUM:date" , "what is the first day of the week" 
"LOC:city" , "what capital is built around monument circle which contains soldiers and sailors monument" 
"NUM:count" , "how many of them are in africa" 
"LOC:other" , "what famed wall supports the badaling turret" 
"HUM:ind" , "who portrayed fatman in the television show jake and the fatman" 
"LOC:other" , "where are good science sites on the internet" 
"HUM:ind" , "what woman was time man of the year for" 
"HUM:ind" , "who wrote the ugly duckling" 
"HUM:ind" , "who designed london bridge" 
"NUM:count" , "how many miles are there between tel aviv israel and memphis tennessee" 
"NUM:count" , "how many flavors of ice cream does howard johnson have" 
"LOC:other" , "where are the busiest amtrak rail stations in the" 
"NUM:count" , "how many freckles does howdy doody have on his face" 
"HUM:ind" , "who was considered to be the father of psychology" 
"NUM:dist" , "how tall was the animated king kong" 
"NUM:other" , "what is the population of japan" 
"LOC:other" , "where was the largest concentration camp in world war ii" 
"NUM:money" , "how much did alaska cost when bought from russia" 
"NUM:count" , "how many events make up the decathlon" 
"LOC:other" , "what were the first bodies visited by spacecraft" 
"HUM:ind" , "who succeeded nikita khrushchev as first secretary of the communist party" 
"HUM:ind" , "who was chosen to be the first black chairman of the military joint chiefs of staff" 
"HUM:ind" , "name of the lady the great gatsby pines for" 
"NUM:count" , "how many bails are there in a cricket wicket" 
"LOC:city" , "what city was martin luther king assassinated in" 
"HUM:ind" , "what celebrity couple when going through a divorce divided their toilet paper into two equal piles" 
"LOC:other" , "where the hotel" 
"HUM:ind" , "who said what contemptible scoundrel stole the cork from my lunch" 
"LOC:city" , "what is the capital of kosovo" 
"NUM:count" , "how many letters appear with the numbers to on a telephone dial" 
"LOC:city" , "what were the first three cities to have a population of more than a million" 
"NUM:money" , "what was the minimum wage in" 
"LOC:country" , "what country is the biggest producer of tungsten" 
"NUM:date" , "when is the jimmy buffett concert coming to the e center in camden nj" 
"LOC:country" , "what european country abandoned postage stamps in because printing them cost more than their face value" 
"HUM:ind" , "who was the president" 
"NUM:money" , "how much did varian associates try to sell its vacuum products division to the boc group for" 
"NUM:count" , "how many people hike" 
"HUM:ind" , "who played maria in the film west side story" 
"HUM:ind" , "who bestowed great power upon captain britain" 
"LOC:country" , "what nationality is a sicilian" 
"HUM:ind" , "what is the most common boy or girl name" 
"HUM:ind" , "who was the accused in the trial of the century which opened janurary" 
"LOC:other" , "what is the oldest building in the united states" 
"NUM:count" , "how many people died on south carolina highways in" 
"NUM:date" , "what is president nixon birthdate" 
"NUM:count" , "how many people died in the vietnam war" 
"NUM:date" , "what year did montana become a state" 
"NUM:date" , "when was the ussr dissolved" 
"LOC:city" , "what japanese city was once called edo" 
"HUM:ind" , "who did the seven mules block for" 
"HUM:ind" , "what the name of the actress who starred in the movie silence of the lambs" 
"LOC:other" , "where is one corpus callosum found" 
"HUM:ind" , "who did napolean defeat at jena and auerstadt" 
"HUM:ind" , "what british prime minister and president were seventh cousins" 
"NUM:count" , "how many objects orbit the earth" 
"LOC:city" , "what the oldest capital city in the americas" 
"LOC:other" , "what is the location of edinburgh scotland" 
"NUM:count" , "how many muscles does the average adult use when going for a walk" 
"NUM:period" , "how long do you have to live in a community to vote" 
"HUM:ind" , "what was the name of the titanic captain" 
"HUM:ind" , "name of heroine in scruples" 
"NUM:volsize" , "how big is the chappellet vineyard" 
"LOC:country" , "jackson pollock was a native of what country" 
"HUM:ind" , "who wrote the godfather" 
"NUM:other" , "what is the frequency of vhf" 
"LOC:other" , "what island was the target of the operation urgent fury" 
"HUM:ind" , "which of the following tv newsmen was a rhodes scholar" 
"HUM:ind" , "what temperance advocate wielded her hatchet on saloons" 
"NUM:count" , "how many islands does fiji have" 
"HUM:ind" , "who invented volleyball" 
"LOC:country" , "what the most powerful country in the world" 
"HUM:ind" , "who led the normans to victory in the battle of hastings" 
"NUM:perc" , "what percentage of the world plant and animal species can be found in the amazon forests" 
"HUM:ind" , "what the name of the star of the cooking show galloping gourmet" 
"HUM:ind" , "who invented the horoscope" 
"HUM:ind" , "what king was forced to agree to the magna carta" 
"NUM:count" , "how many electoral college votes does colorado have" 
"HUM:ind" , "what were babe ruth christian names" 
"NUM:count" , "how many bottles of wine were prisoners in the bastille allowed per day" 
"LOC:other" , "where do lobsters like to live" 
"HUM:ind" , "who was the first elected mayor of washington" 
"NUM:date" , "when was the big thompson flood" 
"HUM:ind" , "who wrote the trilogy foundation foundation and empire and second foundation" 
"NUM:count" , "how many hours of work does it take a typist to complete a screenplay" 
"HUM:ind" , "what is alice cooper real name" 
"LOC:city" , "what two cities usually mark the extremes of english channel swims" 
"NUM:count" , "how many times does the tide ebb and flow each day" 
"HUM:ind" , "who invented television" 
"HUM:ind" , "name the person who burst through the screen in the lite beer commercials" 
"HUM:ind" , "what killed alexander hamilton in a duel" 
"NUM:temp" , "what the fahrenheit equivalent of zero degrees centigrade" 
"NUM:count" , "how many muscles does an oyster have" 
"HUM:ind" , "who wrote much ado about nothing" 
"LOC:other" , "where can i get information concerning child custody files for the state of utah" 
"HUM:ind" , "what louisiana senator won a seat that had been held by his father and mother" 
"HUM:ind" , "who won oscars for her roles in gone with the wind and a streetcar named desire" 
"HUM:ind" , "what writer is famous for physically putting himself into the center of his subject matter" 
"HUM:ind" , "who the lead singer of the led zeppelin band" 
"HUM:ind" , "in dana two years before the mast what seafarers lived in an abandoned oven on the beach at san diego" 
"HUM:ind" , "who plays the cop in the movie kindergarten cop" 
"NUM:count" , "how many characters makes up a word for typing test purposes" 
"NUM:money" , "what was the annual salary for a boilermaker" 
"HUM:ind" , "who created billy pilgrim a survivor of the dresden firestorm" 
"LOC:country" , "what country saw the origin of the asian flu" 
"HUM:ind" , "who is the richest woman in the world" 
"LOC:other" , "where can i take a test that will tell me what i should be when i grow up" 
"LOC:other" , "what lake in scotland is said to hold one or more monsters" 
"HUM:ind" , "who were the oscar winners" 
"HUM:ind" , "who wrote the book huckleberry finn" 
"HUM:ind" , "who would you use the heimlich maneuver on" 
"LOC:other" , "what famed library can you reach by dialing" 
"LOC:other" , "where can i get a complete listing of showtimes in my area" 
"LOC:other" , "where montenegro" 
"LOC:other" , "where is glasgow" 
"LOC:city" , "what north american city boasts the biggest polish population" 
"HUM:ind" , "what radio tv and movie character did jackie gleason and william bendix play" 
"LOC:other" , "where is it planned to berth the merchant ship lane victory which merchant marine veterans are converting into a floating museum" 
"NUM:period" , "what is maurizio pellegrin age" 
"NUM:count" , "how many thousands of students attend the university of massachusetts" 
"HUM:ind" , "name the senate majority leader and the speaker of the house" 
"HUM:ind" , "what female suspect in the game of clue is single" 
"HUM:ind" , "who owns cnn" 
"NUM:count" , "about how many americans are still unaccounted for from the vietnam war" 
"NUM:other" , "what is the chemical reactivity of neon" 
"LOC:other" , "what is the oldest website on the internet" 
"HUM:ind" , "what member of the little rascals has an sweetheart in darla hood" 
"LOC:country" , "what country are you visiting if you land at president duvalier airport" 
"HUM:ind" , "what ordered the closing of alcatraz" 
"LOC:city" , "what is the capital of congo" 
"LOC:country" , "what is a country that starts with the letter x" 
"LOC:country" , "what countries earn the most from tourism" 
"LOC:city" , "which city in china has the largest number of foreign financial companies" 
"NUM:date" , "when are the oscars academy awards in" 
"HUM:ind" , "who was the prophet of the jewish people" 
"HUM:ind" , "what is the most common name" 
"HUM:ind" , "who was the oldest president" 
"NUM:date" , "when was dubai first concrete house built" 
"HUM:ind" , "who is the prophet of the religion of islam" 
"HUM:ind" , "who portrayed maggio in the film from here to eternity" 
"LOC:other" , "where are zebras most likely found" 
"NUM:perc" , "what are the odds of giving birth to twins" 
"LOC:other" , "what is the best place to live in the world considering climate civilization" 
"HUM:ind" , "name the cartoon genie conjured by the magic ring shared by nancy and chuck" 
"NUM:money" , "what is the amount of money owed for illegally having a dog on a beach" 
"LOC:other" , "what is the web address at which i can find the address of a member of the us house of representatives" 
"NUM:volsize" , "how big is the largest diamond" 
"NUM:date" , "when did the original howdy doody show go off the air" 
"NUM:count" , "how many languages are there in the world" 
"HUM:ind" , "who were the only two bald presidents" 
"HUM:ind" , "which member of charlie angels sang vocals for josie and the pussycats" 
"LOC:other" , "what river flows past the temple of karnak" 
"HUM:ind" , "what comedian was the perfect fool" 
"LOC:other" , "where do you find information about the queensland national competition policy" 
"HUM:ind" , "who loved flash gordon besides dale" 
"LOC:other" , "where can i get information on the original us colonies" 
"NUM:count" , "how many inches over six feet is tom selleck" 
"HUM:ind" , "who the only president buried in washington" 
"NUM:money" , "how much could you rent a volkswagen bug for in" 
"HUM:ind" , "whose singing voice was dubbed in for natalie wood in west side story and audrey hepburn in my fair lady" 
"NUM:money" , "what is the mean income of the top top and top" 
"LOC:city" , "what north american city sprouts the most parking meters" 
"LOC:other" , "what is the largest and most expensive freeway construction project in the right now" 
"LOC:other" , "where did gulliver find a race of tiny people" 
"NUM:count" , "how much stronger is the new vitreous carbon material invented by the tokyo institute of technology compared with the material made from cellulose" 
"NUM:money" , "how much do tuberculosis combatting drugs cost" 
"HUM:ind" , "president bush compared saddam hussein to whom" 
"HUM:ind" , "what tv comedian worked with white fang black tooth and pookie the lion" 
"HUM:ind" , "who created the character james bond" 
"LOC:other" , "where did the japanese imperial forces surrender to end wwii" 
"NUM:count" , "how many rows of whiskers does a cat have" 
"HUM:ind" , "what british general surrendered to the colonial army at saratoga" 
"NUM:count" , "what is the world population as of today" 
"LOC:city" , "what city would you be in if you were feeding the pigeons in the piazza san marco" 
"HUM:ind" , "what artist studio was the in montmartre" 
"LOC:other" , "what is the name of the planet that the ewoks live on" 
"NUM:count" , "how many words are there in the spanish language" 
"LOC:other" , "where is there information on the novel el cid" 
"NUM:count" , "how many members of a family could be drafted in the military during world war ii" 
"HUM:ind" , "who wrote the song silent night" 
"NUM:date" , "what is the average date when most malls begin putting up christmas holiday decorations" 
"NUM:count" , "how many characters are in the chinese alphabet" 
"LOC:other" , "where is burma" 
"HUM:ind" , "who wrote the collector" 
"HUM:ind" , "who was samuel johnsons friend and biographer" 
"HUM:ind" , "what kind of women gave sigmund freud erotic dreams" 
"NUM:count" , "how many hummingbird eggs could fit in one ostrich egg" 
"HUM:ind" , "who wrote the bestselling missionary travels and researches in south africa published in" 
"HUM:ind" , "who played the father on charles in charge" 
"NUM:period" , "what is the gestation period for human pregnancies" 
"LOC:other" , "where did the name daniel originate" 
"NUM:period" , "how long does the average domesticated ferret live" 
"LOC:state" , "what states do not have state income tax" 
"LOC:city" , "what city has the two steepest streets in the" 
"LOC:country" , "name the country of giants twelve times the size of man in gulliver travels" 
"NUM:other" , "what men par on a golf hole" 
"NUM:count" , "how many countries are there" 
"LOC:other" , "where does most of the marijuana entering the united states come from" 
"HUM:ind" , "who are the top richest people in the world" 
"NUM:count" , "how many yards are in mile" 
"HUM:ind" , "what actor was the first man to appear on the cover of mccall" 
"NUM:date" , "when was the first successful heart transplant for a human" 
"LOC:country" , "what country boasts cawdor castle glamis castle and blair castle" 
"LOC:country" , "what country is mount everest in" 
"LOC:country" , "which country is the largest country in latin america" 
"HUM:ind" , "name the four horsemen of the apocalypse" 
"NUM:count" , "how many watts make a kilowatt" 
"HUM:ind" , "what female faith healer wrote the inspirational book i believe in miracles" 
"LOC:other" , "where did king francis i hang the mona lisa when he owned it" 
"HUM:ind" , "what famous team did radio ads for blue nun wine" 
"NUM:count" , "how many times has harold stassen announced a drive for the white house" 
"NUM:money" , "what are bottle caps with presidents pictures inside worth" 
"LOC:other" , "where can i find the history of the hungarian language" 
"HUM:ind" , "who tramped through florida looking for the fountain of youth" 
"NUM:date" , "in what day of the week did christmas fall on" 
"NUM:count" , "how many american soldiers are stationed in south korea" 
"NUM:count" , "how many feet more than is the average height of the great wall of china" 
"NUM:period" , "how long ago did the anglican church part from the vatican" 
"NUM:money" , "how much did lucy van pelt originally charge for psychiatric sessions" 
"HUM:ind" , "who followed up his first two underwater thrillers with the girl of the sea of cortez" 
"NUM:date" , "when was the parthenon built" 
"NUM:period" , "how long does a pig orgasm last" 
"LOC:state" , "what state comes last in an alphabetical list" 
"NUM:count" , "how many mountains have been named for presidents in the continental usa" 
"NUM:other" , "what are the unemployment statistics for the years and" 
"HUM:ind" , "who is the one independent member of congress" 
"HUM:ind" , "what two presidents of the published books of poetry" 
"HUM:ind" , "which of the seven dwarfs comes first alphabetically" 
"HUM:ind" , "what professional cricketer son wrote the war of the worlds in" 
"NUM:count" , "how many inches apart are adjacent pins in tenpin bowling" 
"NUM:count" , "how many miles of corridors are in the pentagon" 
"LOC:state" , "what state includes the san juan islands" 
"HUM:ind" , "what english playwright penned where the bee sucks so shall i" 
"NUM:dist" , "how deep is a fathom" 
"HUM:ind" , "what was fred astaire dancing partner name" 
"NUM:count" , "what is the highest number of home runs on record for any one game" 
"HUM:ind" , "what heavyweight boxer was known as the wild bull of the pampas" 
"NUM:count" , "how many quarts of whole milk is needed to make one pound of butter" 
"LOC:other" , "what london street claims to be the world center for men tailoring" 
"NUM:period" , "how old is the universe" 
"NUM:date" , "when does the bible say the seasons started" 
"LOC:country" , "what bordering country is due north of costa rica" 
"LOC:country" , "what nation boarders mozambique" 
"NUM:date" , "the olympic games in which year allowed nadia comaneci to become popular" 
"HUM:ind" , "what tv host lends his name to a line of men clothing" 
"NUM:count" , "how many people die of tuberculosis yearly" 
"HUM:ind" , "who invented the electric guitar" 
"LOC:city" , "what is the capital of california" 
"LOC:country" , "what country comes last in an alphabetical list" 
"NUM:temp" , "how hot should the oven be when baking peachy oat muffins" 
"LOC:country" , "what country is the worlds leading supplier of cannabis" 
"HUM:ind" , "who is the president of pergament" 
"LOC:city" , "what city is the kentucky horse park near" 
"LOC:other" , "where did hillary clinton graduate college" 
"HUM:ind" , "what american naval officer broke japan isolationist policy in" 
"HUM:ind" , "who gave us the rolling writer" 
"HUM:ind" , "who wrote the secret life of walter mitty" 
"HUM:ind" , "who is the head of the world bank" 
"NUM:count" , "how many people does honda employ in the" 
"NUM:count" , "how much calcium should an adult female have daily" 
"HUM:ind" , "what is the most popular last name" 
"HUM:ind" , "who moderated the first tv debate" 
"HUM:ind" , "who portrayed george cohan in yankee doodle dandy" 
"NUM:date" , "when was nostradamus born" 
"HUM:ind" , "who the only president to have won a pulitzer prize" 
"LOC:country" , "what is the country of origin for the name thomas" 
"NUM:count" , "what is the population of the largest chilean city" 
"LOC:country" , "what country has the highest per capita consumption of cheese" 
"HUM:ind" , "who invented the muppets" 
"LOC:other" , "what sea is bombay on" 
"HUM:ind" , "what fool is not so wise to lose an oath to win a paradise" 
"LOC:other" , "where in the americas is it only miles from the atlantic to the pacific" 
"NUM:dist" , "how tall was the animated frankenstein" 
"LOC:city" , "what city is known as the rubber capital of the world" 
"LOC:country" , "what countries have the highest ratio of university students" 
"NUM:count" , "how many miles is it from ny to austria" 
"NUM:volsize" , "how big is the universe actually" 
"HUM:ind" , "what monarch signed the magna carta" 
"NUM:count" , "how many sides does a heptagon have" 
"LOC:other" , "where are there aborigines" 
"LOC:other" , "on what river is rome built" 
"LOC:other" , "where on the web is adventours tours from sydney australia" 
"LOC:other" , "where were the summer olympics held" 
"LOC:other" , "what cathedral was thomas becket murdered in" 
"LOC:city" , "the kentucky horse park is close to which american city" 
"NUM:period" , "how old was sir edmund hillary when he climbed mt everest" 
"LOC:other" , "where in a tree does photosynthesis occur" 
"LOC:other" , "what strait links the mediterranean sea and the atlantic ocean" 
"LOC:other" , "what airport is on the piccadilly subway line" 
"NUM:code" , "what seven digits follow the area code in the number for long distance information" 
"LOC:city" , "what city airport is named logan international" 
"HUM:ind" , "what pope inaugurated vatican international radio" 
"NUM:count" , "how many times more than" 
"NUM:count" , "how many names are there for eskimo people" 
"HUM:ind" , "what king is satirized in the line the king was in the countinghouse counting all his money" 
"LOC:state" , "what is the nickname of pennsylvania" 
"NUM:date" , "when was the first stained glass window made" 
"HUM:ind" , "what pope inaugurated vatican international radio" 
"HUM:ind" , "what director made one silent and one sound version of the ten commandments" 
"NUM:date" , "when did swimming become commonplace" 
"HUM:ind" , "which presidents of the usa were masons" 
"HUM:ind" , "who was the tallest president" 
"LOC:other" , "what is the largest museum in the world" 
"HUM:ind" , "what character in the beverly hillbillies has the given names daisy moses" 
"HUM:ind" , "what comedienne calls her captain bligh and her moby dick" 
"NUM:count" , "how many gallons of paint does it take to paint the golden gate bridge" 
"HUM:ind" , "what president also became a supreme court justice" 
"NUM:date" , "when does menstruation begin" 
"LOC:other" , "where did makeup originate" 
"NUM:dist" , "how deep is a fathom" 
"LOC:state" , "what state is mammoth cave national park in" 
"HUM:ind" , "who was actress june havoc legendary sister" 
"NUM:other" , "what is the chromosome number of an elephant" 
"HUM:ind" , "who killed jfk" 
"HUM:ind" , "who was the star witness at the senate watergate hearings" 
"LOC:country" , "in what country is a tongue a friendly greeting" 
"HUM:ind" , "who is the of everett dirkson who was also a senator in the" 
"LOC:other" , "where is erykah badu originally from" 
"LOC:other" , "where can i buy a pony on the big island for my daughter" 
"NUM:period" , "how old was george washington when he died" 
"NUM:count" , "how many blacks served in the vietnam war" 
"HUM:ind" , "what were the last names of gangsters bonnie and clyde" 
"LOC:other" , "what is the address of the famous mexican star thalia" 
"HUM:ind" , "who invented panties" 
"HUM:ind" , "what president had never held an elected office until he was elected to the white house" 
"HUM:ind" , "who is the richest person in the world" 
"NUM:count" , "how much time does the blinking of an eye take" 
"NUM:dist" , "how deep is a fathom" 
"NUM:date" , "when did the use of the syringe first appear in medicinal history" 
"NUM:count" , "how many people visit the pope each month" 
"LOC:other" , "what planet gave bith to superman" 
"NUM:date" , "what month of the year is there no television in iceland" 
"HUM:ind" , "who is buried in the great pyramid of giza" 
"LOC:country" , "what is the most important nation in the world historically" 
"NUM:perc" , "what is the current unemployment rate in the" 
"NUM:date" , "when was the first railroad from the east coast to the west coast completed" 
"NUM:speed" , "how fast can a corvette go" 
"HUM:ind" , "what famous actress made her first appearance on stage at the age of five in the year as baby" 
"NUM:money" , "how much did a mcdonald hamburger cost in" 
"LOC:other" , "where is the group m people from" 
"LOC:country" , "what country is famous for persian rugs" 
"NUM:count" , "how many were in attendance at the last supper" 
"NUM:period" , "how long should you feed your puppy purina puppy chow" 
"LOC:city" , "what city is graced by the arch of titus" 
"HUM:ind" , "what is michael jackson father name" 
"HUM:ind" , "who was the girl in peter sellers soup" 
"HUM:ind" , "what creative genius said everything comes to him who hustles while he waits" 
"LOC:other" , "where is the world most active volcano located" 
"LOC:country" , "what country is bounded in part by the indian ocean and coral and tasman seas" 
"NUM:count" , "how many people did randy steven craft murder" 
"NUM:count" , "how many small businesses are there in the united states" 
"HUM:ind" , "who was ben casey boss" 
"HUM:ind" , "what multitalented director failed a college course in production" 
"LOC:other" , "where is ayer rock" 
"NUM:date" , "when was the berlin wall erected" 
"NUM:date" , "when was cigarette advertising banned on television and radio" 
"HUM:ind" , "what wild and crazy guy wrote a book called cruel shoes" 
"LOC:city" , "what city theatrical district has been dubbed the roaring forties" 
"NUM:temp" , "what should the temperature be set at while baking peachy oat muffins" 
"NUM:count" , "how many home runs did babe ruth hit in his lifetime" 
"HUM:ind" , "who was in death of a salesman original movie not" 
"HUM:ind" , "what is ruth last name" 
"LOC:other" , "where was george washington born" 
"NUM:count" , "how many colors are there in the spectrum" 
"HUM:ind" , "what the middle name of movie producer joseph levine" 
"LOC:country" , "what two caribbean countries share the island of hispaniola" 
"HUM:ind" , "who told all in ball four" 
"HUM:ind" , "who followed willy brandt as chancellor of the federal republic of germany" 
"LOC:mount" , "what continent peak is mont blanc" 
"LOC:city" , "what peruvian city is home to the mummified body of francisco pizarro" 
"NUM:date" , "when did french revolutionaries storm the bastille" 
"NUM:count" , "how many men died building the mackinaw bridge" 
"HUM:ind" , "what name does the world know renaissance artist kyriakos theotokopoulos by" 
"HUM:ind" , "who is the president of bolivia" 
"LOC:country" , "what nationality is gorbachev" 
